,idx,class,conversation
0,0,기타 괴롭힘 대화,"와 00, 이번에 올린 사진 진짜 예쁘네.
오 예, 고맙습니다!
그래서 사진 보고 옷과 립스틱 사고 싶은데, 어떤 제품인지 알려줄 수 있어? 너무 좋아서 따라하고 싶어서 사진 찍고 싶어.
오. 0000, 여기 있는 제품들.
와, 봤지만 엄청 비싼 것 같아. 어차피 한 장만 찍을 거야, 둘 다 빌려줄 수 있어?
오 예. 빌려줄게.
그럼 빌려주는 동안 피드에 올린 옷도 빌려줘!
오, 사촌한테 빌려줬으니까 빌려줄 수 없을 것 같아.
정말? 근데 정말 궁금해서 언니한테 빨리 받아서 빌려줄 수 있어? 너무 친절해. 믿어도 돼?!
알겠어."
1,1,기타 괴롭힘 대화,"안녕하세요 여러분. 선생님이 다음 수업은 실험실에서 한다고 하셨어.
야, 어제 정말 웃기지 않았어?
그거? 미쳤어, ㅋㅋㅋ.
내가 뭐라고 했는지 들었어?
아 씨발. 씨발 아니야.
뭐야? 나한테 그렇게 말했어?
허? 아니 아니. 너희한테 그렇게 말한 적 없어 ㅋㅋㅋ.
오. 그래.
하하하하 정말 웃기네.
그러니까 ㅋㅋㅋ. 그냥 멍청한 거야.
내 말 들었으면 실험실에 갈래?
알았어.
먼저 가서 기다릴게.
하하 그 씨발년. 너무 더러워, 다음에 나한테 혼낼래?
알았어. 진짜 괴롭힘이 뭔지 보여줄게."
2,2,협박 대화,이 놈은 정신병자야! 난 아무것도 안 할 거야. 죽을 거야.
3,3,직장 내 괴롭힘 대화,"이게 일주일 동안 한 전부야?
네. 미안해.
이게 그 시간 동안 할 수 있는 전부야?
미안해.
쓸모없는 놈.
미안해. 다시는 이런 일이 없도록 할게.
나가! 널 보고 싶지도 않아.
미안해.
으악. 저 놈이 왜 우리 팀에 들어왔지.
미안해."
4,4,갈취 대화,"야, 회색 교복 치마 입은 아기야, 이리 와.
나?
응, 다른 사람 있어?
왜 전화했어?
언니가 빵 사려고 하는데 돈이 없어. 만 원 줄 수 있어?
현금 없어.
내가 누군지 몰라? 빨리 줘.
진짜 카드만 있어.
저기 보여? 빨리 꺼내. 기다릴게. 빨리 와.
알았어."
5,5,갈취 대화,"야, 나한테 로너 담배 사줬어?
아니. 미안해, 돈이 충분하지 않아
미쳤어, 요즘 플러팅 안 했어?
아니, 정말 정말 미안해, 다음 주에 꼭 사줄게
알았어, 알았어, 먼저 오늘 내가 가진 돈을 다 주고
지금은 돈이 없어. 돈이 충분하지 않아.
한번 볼까?
진짜, 믿어줘, 부탁해
먼저 가방을 뒤집어서 지금 바로 줄게!
흠, 흠, 정말 미안해"
6,6,협박 대화,"미친 놈이어서 죽고 싶은 거야?
허?
방금 날 때렸잖아!
아, 미안해. 우연히 널 들이받은 것 같아.
어디를 보고 있어?
아, 미안해.
아가씨, 어깨뼈가 부러진 것 같아.
허? 말도 안 돼.
지금 내가 거짓말하는 것처럼 보여?
말도 안 돼. 그게 아니야. 방금 널 들이받은 거야. 말도 안 돼.
내가 거짓말하는 줄 알아? 어깨를 부러뜨려야 내 기분을 알 수 있다고 생각해?"
7,7,협박 대화,"야, 똑바로 서라
죄송합니다, 선생님. 제발 구해 주세요
시끄러워서 절뚝거리고 있는 게 다행인 것 같아요
구해 줄 수 있어요?
어떻게 해야 하나요?
구해 주세요
구하고 싶지는 않지만, 구해 주시면 신고할게요
죄송합니다
살 자격이 없어요
제발, 선생님"
8,8,협박 대화,"야, 내가 불운해서 눈에 띄지 말라고 했잖아
미. 미안해
미안해도 돼? 머리를 숙이고 땅에 기어가라고 했잖아
허?. 허?
한 번 해봐, 머리를 숙이고 개처럼 기어가
왜, 왜 그러는 거야?
내가 왜 그래야 해? 맞고 싶은 거야 아니면 하고 싶은 거야?
내가 뭘 그렇게 잘못했는데
너는 외모 때문에 불운하잖아. 엎드려, 이 새끼야
씨발. 아니
싫어해?? 맞고 네 발로 기어가게 할 거야."
9,9,직장 내 괴롭힘 대화,"김매니저
네, 매니저
오늘 커피 한 잔 사줄 수 있어?
네?
더운데, 기운 내자. 커피 한 잔 사줄 수 있어?
아.
아니, 일할 능력이 없으면 동료들이 기분 나빠할 거야.
미안해.
미안하지만 말로만 하잖아.
바로 사줄게."
10,10,협박 대화,"네 아들이 내 딸의 학교 시절을 지옥으로 만들었어. 사진을 봐, 마지막 사진도. 다 내 잘못이야. 내 아들을 구해. 그만해. 내 아이를 구하고 싶었는데, 이미 자살했어!
이게 네 기분을 나아지게 해줄까? 그냥 내 아들을 만져!
이 미친년은 더 이상 말을 안 해. 누가 학교 폭력 때문에 내 딸을 자살하게 했니?
이 씨발년아, 내 아들을 만지면 평생 감옥에서 썩을 거야!
네가 경찰에 신고했다고 해서 내가 그러지 않을 거라고 생각하지 마. 네 아들을 낳은 걸 회개해. 네 장례식은 치르지 않을 거야.
왜 나한테 이러는 거야?
이게 다 네가 네 아들을 교육시키지 못했기 때문이야.
너도 나와 똑같아!"
11,11,기타 괴롭힘 대화,"야, 왜 항상 이상한 화장을 해? 남자들이 널 싫어하는 건 아니야.
난 남자들에게 잘 보이기 위해 화장을 하는 게 아니야.? 그냥 그런 화장을 좋아할 뿐이야.
뭐라고? 너도 남자들에게 인기 있고 싶어하는 걸 의식하고 있잖아.
왜 그걸 여기서 꺼내?
아니. 그런 화장을 해. 그 남자들과 어울리면 창피하잖아. 그런 얼굴의 남자들이 너한테 말하면 화를 낸다는 걸 몰라?
난 그런 적 없어. 너만 착각한 거야.!
뭐라고? 내가 좋아하던 남자랑 헤어지고 사귀기 시작했어. 예상대로 그 남자 뒤에서 이상한 짓을 했어. 실망스러워.
이제 그만 얘기하자.
아직 얘기 안 끝났어? 정신 차리고 내가 싫어하는 게 뭔지 말해.
하."
12,12,협박 대화,"딸은 어디 있니?
누구야?
내 딸한테 이런 짓을 저질렀어! 지금 당장 데려와.
못하니?
왜 갑자기 나한테 비공식적으로 말을 해?
먼저 불평한 건 너잖아.
딸을 데려와. 내가 칼로 찌르기 전에.
미쳤어? 지금 당장 신고할게.
네가 죽고 싶고 내가 죽고 싶은 거야? 딸을 데려와.
그렇게 극단적으로 말하지 말고 상황의 세부 사항을 말해!
그만해! 네 딸이 모든 잘못을 저지른 거야. 지금 당장 죽여버릴 거야."
13,13,기타 괴롭힘 대화,"사귀자
아, 나는 이미 누군가를 좋아해
그 사람은 당신을 좋아하지 않아?
그렇지만 나는 여전히 만족해
나는 당신을 생각해서 이렇게 말하는 거야.나도 당신을 좋아해서, 그냥 포기하고 당신을 만나서 잘 대해야 한다고 생각하니 가슴이 아프다
.나는 정말로 사귀고 싶지 않아
여자는 자신이 좋아하는 남자를 만나는 것보다 자신을 좋아하는 남자를 만나야 하지, 알지?
아.미안해, 오빠.정말
아니, 사귀는 거니까 미안할 게 뭐야
제발, 그만하자"
14,14,기타 괴롭힘 대화,"이곳은 좋은 식당이 아닌 것 같습니다. 여기 오지 마세요.
실례합니다. 지금 허락 없이 유튜브를 촬영하고 계신가요?
저는 그냥 제 자신을 위해 녹화하고 있습니다. 무슨 말씀이신가요?
무슨 말씀이신가요? 그가 시작한 모든 것을 봤어요.
제가 그를 촬영해도 무슨 상관이 있나요?
실례합니다. 촬영하려면 허가를 받아야 합니다. 이해하시겠어요?
제가 또 뭘 촬영했나요? 제 얼굴을 촬영했어요. 상관없어요.
실례합니다. 얼굴을 촬영하더라도 묻는 건 상식이에요.
여러분, 여기 오지 마세요.
여러분, 허가 없이 촬영하는 사람을 보지 마세요."
